,SITE_ID,LOCATION_LAT,LOCATION_LON,LOCATION_ELEV,MIN_DATE,MAX_DATE,SITE_NAME
151,FR-Gri,48.84415,1.951910019,125.0,200401010000,202212312330,Grignon
152,FR-Hes,48.6741,7.06465,310.0,201401010000,202212312330,
153,FR-LBr,44.7171,-0.7693,61.0,199601010000,200812312330,Le Bray
154,FR-LGt,47.3229,2.2841,,201701010000,202212312330,La Guette
155,FR-Lam,43.496437,1.237878,181.0,200501010000,202212312330,
156,FR-Mej,48.1184,-1.79635,40.0,201901010000,202212312330,
157,FR-Pue,43.7413,3.5957,271.0,200001010000,202212312330,Puechabon
158,FR-Tou,43.572857,1.37474,158.0,201801010000,202212312330,
159,GF-Guy,5.2787,-52.9248,40.0,200401010000,202212312330,Guyaflux (French Guiana)
160,GH-Ank,5.2685,-2.6942,124.0,201101010000,201412312330,Ankasa
161,GL-Dsk,69.25349,-53.51413,8.0,202001010000,202212312330,
162,GL-NuF,64.130933,-51.386068,-9999.0,200801010000,202212312330,Nuuk Fen
163,GL-ZaF,74.4814,-20.5545,38.0,200801010000,201112312330,Zackenberg Fen
164,GL-ZaH,74.473299,-20.550869,-9999.0,200001010000,202212312330,Zackenberg Heath
165,HK-MPM,22.4982,114.0292,-1.0,201601010000,201812312300,Mai Po Mangrove
166,ID-Pag,-2.32,113.9,30.0,201606010000,201705312300,Palangkaraya undrained forest
167,IE-Cra,53.32309,-7.641774,,202001010000,202012312330,
168,IL-Yat,31.345044585655,35.0519885122776,,200001010000,202012312330,
169,IT-BCi,40.5237,14.9574,20.0,200401010000,202012312330,Borgo Cioffi
170,IT-BFt,45.197754,10.741966,23.0,201901010000,202212312330,
171,IT-CA1,42.3804,12.0266,200.0,201101010000,201412312330,Castel d'Asso1
172,IT-CA2,42.3772,12.026,200.0,201101010000,201412312330,Castel d'Asso2
173,IT-CA3,42.38,12.0222,197.0,201101010000,201412312330,Castel d'Asso3
174,IT-Cas,45.07,8.7175,89.0,200901010000,201012312300,Castellaro
175,IT-Col,41.8494,13.5881,1560.0,199601010000,201412312330,Collelongo
176,IT-Cp2,41.704266,12.357293,19.0,201201010000,202212312330,Castelporziano2
177,IT-Cpz,41.7052,12.3761,68.0,199701010000,200912312330,Castelporziano
178,IT-Isp,45.8126,8.6336,210.0,201301010000,201412312330,Ispra ABC-IS
179,IT-La2,45.9542,11.2853,1350.0,200001010000,200212312330,Lavarone2
180,IT-Lav,45.9562,11.2813,1353.0,200301010000,202012312330,Lavarone
181,IT-Lsn,45.740482,12.750297,1.0,201601010000,202212312330,
182,IT-MBo,46.01468,11.045831,1550.0,200301010000,202012312330,Monte Bondone
183,IT-Niv,45.49091,7.13943,2750.0,201901010000,202212312330,
184,IT-Noe,40.6062,8.1517,25.0,200401010000,201412312330,Arca di Noe - Le Prigionette
185,IT-PT1,45.2009,9.061,60.0,200201010000,200412312330,Parco Ticino forest
186,IT-Ren,46.58686,11.43369,1735.6,199801010000,202212312330,Renon
187,IT-Ro1,42.4081,11.93,235.0,200001010000,200812312330,Roccarespampani 1
